,AF3,AF4,F3,F4,F7,F8,FC5,FC6,O1,O2,P7,P8,T7,T8,Status
0,-0.0007880154298618436,-0.0019094666931778193,-0.00023915866040624678,-0.00047204107977449894,0.0004089961003046483,-0.0006710062734782696,0.0011776700848713517,-0.00037252699257805943,0.0004456205351743847,0.0006010461947880685,-0.0003850127395708114,0.0017021824605762959,-0.0012388202594593167,0.0017405343241989613,0
1,-0.0007755816332064569,-0.0018503109458833933,-0.00021879238192923367,-0.0004296732658986002,0.00037132506258785725,-0.0006649090209975839,0.0011669668601825833,-0.00037462881300598383,0.00043861244921572506,0.000578306382521987,-0.0003637926129158586,0.0016905834199860692,-0.0011947634629905224,0.0016266597667708993,0
2,-0.0007378103327937424,-0.0017656193813309073,-0.00020891622989438474,-0.00041741173481568694,0.00035863867378793657,-0.0006343455170281231,0.0011016782373189926,-0.0003564651124179363,0.0004274447856005281,0.0005580805009230971,-0.00033762099337764084,0.001597713096998632,-0.0011293651768937707,0.0015440009301528335,0
3,-0.0006771421758458018,-0.001653361483477056,-0.00020717887673527002,-0.000422894285293296,0.0003629613493103534,-0.000579624087549746,0.0009945167694240808,-0.0003197452169843018,0.00040015834383666515,0.0005304038058966398,-0.00031833001412451267,0.0014394266763702035,-0.0010524867102503777,0.0015032972441986203,0
4,-0.0006285096169449389,-0.001551198773086071,-0.00020087861048523337,-0.00041146884905174375,0.0003550908004399389,-0.0005348614067770541,0.000915300624910742,-0.0002923316787928343,0.00036557295243255794,0.0004946868866682053,-0.0003093042760156095,0.0013211985351517797,-0.0009925910271704197,0.0014692958211526275,0
5,-0.0006112008122727275,-0.001485637272708118,-0.00018422667926643044,-0.00037162716034799814,0.00032232151716016233,-0.0005201669409871101,0.0008987499750219285,-0.00029146121232770383,0.00034203327959403396,0.0004602671542670578,-0.00030149714439176023,0.0012968599330633879,-0.0009578895405866206,0.0014034759951755404,0
6,-0.0006020929431542754,-0.001435689046047628,-0.0001670515484875068,-0.00033056081156246364,0.0002857587533071637,-0.0005156385013833642,0.00089720991672948,-0.0002982300356961787,0.0003341777191963047,0.0004355050332378596,-0.00028454713174141943,0.0012971513206139207,-0.0009251084993593395,0.0013091169530525804,0
7,-0.000566421018447727,-0.0013614891795441508,-0.00015917951532173902,-0.00031620115623809397,0.00027062336448580027,-0.0004881741770077497,0.0008444471168331802,-0.00028411817038431764,0.0003271893074270338,0.0004180077521596104,-0.00026107605663128197,0.0012233187444508076,-0.0008686787914484739,0.0012217529583722353,0
8,-0.0005063822609372437,-0.0012583441566675901,-0.00015847483882680535,-0.00032081062090583146,0.0002736733586061746,-0.00043702658149413764,0.0007445347146131098,-0.0002473878557793796,0.00030678173061460257,0.00039845952414907515,-0.00024152286641765386,0.0010795114794746041,-0.0007952660671435297,0.0011622554156929255,0
9,-0.00045899272663518786,-0.0011636895360425115,-0.00015267862181644887,-0.0003122228372376412,0.00026798303588293493,-0.000395144714275375,0.0006667205598205328,-0.00021692761220037937,0.0002775244938675314,0.0003714893537107855,-0.00023142124700825661,0.0009653317974880338,-0.0007351840031333268,0.0011172130471095443,0
10,-0.0004472748260013759,-0.0011059422977268696,-0.00013652654888574034,-0.00027750167646445334,0.0002396914642304182,-0.00038405542727559805,0.0006518069421872497,-0.0002143768360838294,0.00025524268858134747,0.00034156825859099627,-0.00022441176406573504,0.0009416500688530505,-0.0007032080902718008,0.0010633390629664063,0
11,-0.00044792142580263317,-0.0010665419977158308,-0.00011973056098213419,-0.0002399635559413582,0.00020628320635296404,-0.00038470691652037203,0.0006571453413926065,-0.00022516283206641674,0.0002455119392834604,0.00031643168767914176,-0.0002115860697813332,0.0009491352830082178,-0.000679321470670402,0.0010004282230511308,0
12,-0.0004216281231492758,-0.0010046520037576556,-0.00011346876272000372,-0.000227346972678788,0.00019248687021899968,-0.0003620674542617053,0.000615412718616426,-0.0002186612255172804,0.00023718400916550308,0.00029675255063921213,-0.00019329682982061058,0.0008896184735931456,-0.0006363382562994957,0.0009460058645345271,0
13,-0.00036531034857034683,-0.0009127362864091992,-0.0001152247132267803,-0.00023356681049335748,0.00019655885989777744,-0.00031363818561658263,0.0005241466569714248,-0.00018742188694886863,0.00021842840942554176,0.0002769757411442697,-0.00017722914344631135,0.0007584303384646773,-0.0005727360839955509,0.0009033242240548134,0
14,-0.00031633605249226093,-0.000825766590423882,-0.00011162640294060111,-0.0002273336867801845,0.00019246090960223228,-0.0002725444792304188,0.00044979172525927424,-0.0001569327141623944,0.00019330298528075218,0.00025424794876016676,-0.00016757092089392245,0.0006508011720143259,-0.0005158656276762486,0.0008533724467270076,0
15,-0.0003024630423169583,-0.0007745229522697628,-9.653520828578621e-05,-0.00019476449233479798,0.00016554220928810537,-0.0002633205440361053,0.0004367002402432263,-0.00015015315148048103,0.0001758564612828195,0.0002312562573933974,-0.000159873379743658,0.0006320996326394379,-0.0004833024286199361,0.0007834809948690236,0
16,-0.00030659139156341553,-0.0007429443066939712,-7.972207822604105e-05,-0.00015882632578723133,0.00013264459266792983,-0.00026809165137819946,0.00044822151539847255,-0.00015868866466917098,0.00017012293392326683,0.00021261586516629905,-0.000147142811329104,0.0006489624502137303,-0.000461774121504277,0.0007112144958227873,0
17,-0.00028918078169226646,-0.0006907124188728631,-7.366314093815163e-05,-0.00014786349493078887,0.00012006852921331301,-0.0002510280173737556,0.0004158334049861878,-0.00015527843788731843,0.0001635528460610658,0.00019653809431474656,-0.00013100534852128476,0.0006012435769662261,-0.00042559669236652553,0.000667092390358448,0
18,-0.00024211312120314687,-0.0006081683095544577,-7.727192132733762e-05,-0.00015663355588912964,0.00012744635751005262,-0.00020643345487769693,0.00033193989656865597,-0.00013034896983299404,0.00014382762310560793,0.00017747460515238345,-0.00011900038953172043,0.00047860786435194314,-0.000373016664525494,0.0006536904256790876,0
19,-0.0001981160166906193,-0.0005304017104208469,-7.64851356507279e-05,-0.00015401330892927945,0.00012750319729093462,-0.00016685956506989896,0.00026074162451550364,-0.00010489752457942814,0.00011796827311627567,0.00015393467037938535,-0.00011378151248209178,0.0003752449119929224,-0.00032686529448255897,0.0006360277766361833,0
20,-0.00018564802303444594,-0.0004899566993117332,-6.295961793512106e-05,-0.0001240176788996905,0.00010259977716486901,-0.00015944888582453132,0.00025107795954681933,-9.972920815926045e-05,0.0001016507885651663,0.00013206973380874842,-0.0001087484197341837,0.0003626434481702745,-0.00030141870956867933,0.0005818859208375216,0
21,-0.0001912142470246181,-0.0004713486705441028,-4.557663851301186e-05,-8.9053857664112e-05,6.865041359560564e-05,-0.00016949739074334502,0.00027046346804127097,-0.00010740115976659581,0.00010004028445109725,0.00011725067452061921,-9.619118645787239e-05,0.0003923723706975579,-0.0002822769165504724,0.0005037832888774574,0
